source_key,selection_model_status,parent_sample_n,published_selected_n,survey_area_arcmin2,completeness_kind,completeness_value,completeness_scope,published_threshold,inverse_weighting_allowed,demographic_use,verification_date,notes
larson23_ceers1019,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
lin24_aspire_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
lyu24_smiles_miri_agn,source_local_partial,3273,217 overall; 20 high-z,34,source-local SED selection assessment,not reducible to one fraction,SMILES MIRI-detected parent; atlas retains 19 new z>4 candidates,not_reported,false,source_local_fraction_only,2026-09-03,The source discusses incompleteness and contamination; the atlas does not infer object-level inclusion probabilities.
maiolino24_gnz11_agn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
mascia26_compact_blue_ble,source_local_partial,4145,20,not_reported,line-luminosity threshold statement,complete above stated threshold within parent and cuts,"DJA PRISM parent after broad-line, colour, and compactness criteria",broad Halpha luminosity >= 10^42.7 erg/s; FWHM > 2000 km/s; S/N >= 5,false,descriptive_only,2026-09-03,The catalogue retains eight identity-audited new objects; source does not publish unconditional BH masses or an inclusion probability per object.
matthee23_eiger_fresco_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
mazzolari24_ceers_nlagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
meow26_miri_agn,source_local_partial,not_reported,16,95,published luminosity-function correction,source-local only,MEOW z=4.5-6 MIRI-selected luminosity function,not_reported,false,source_local_luminosity_function_only,2026-09-03,Twelve of the 16 published objects are new after identity review; published LF machinery is not transferred into atlas weights.
naidu26_mom_bhstar1,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
napolitano25_ghz9,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
ren25_alpine_cristal_jwst_blagn_candidates,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
scholtz25_jades_narrow_line_agn,source_local_partial,209,42,not_reported,source_local_parent_fraction,0.20 +/- 0.03,full published z=2-10 JADES parent; catalogue retains the z>=4 subset,not_reported,false,source_local_fraction_only,2026-09-03,Published parent and selected counts support only the paper-defined JADES fraction; no cross-survey weight.
skyfire26_ceers_blagn,source_local_partial,178,34,not_reported,spectroscopic completeness,0.73,photometric LRDs with beta_opt > -0.02 in the CEERS study,not_reported,false,source_local_fraction_only,2026-09-03,Published 73% completeness is phenotype- and source-local; it is not a weight for the atlas union catalogue.
tang25_high_ionization,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
taylor24_ceers_rubies_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
treiber25_uncover_uv_emitters,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
ubler24_zs7_offset_blagn,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
uhz1_xray_evidence_history,source_local_partial,11 in original forced-photometry parent,1 original candidate; later disputed,not_reported,targeted forced-photometry selection,not_reported,original lensed zphot>9 JWST target list,not_reported,false,descriptive_only,2026-09-03,Detection status changed with added Chandra exposure; no demographic weight is valid.
zhang25_narrow_line_lrds,not_quantifiable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,false,descriptive_only,2026-09-03,Targeted or compiled source; no object-level inclusion-probability model is encoded for cross-source weighting.
