catalogue_release,catalogue_view,stratum_type,stratum_value,n_rows,n_measurements_represented,n_physical_objects,redshift_min,redshift_max,log_mbh_min,log_mbh_median,log_mbh_max,n_lrd,n_non_lrd,n_lrd_not_reported,stratum_identity_basis,demographic_inference_allowed,selection_function_note,input_catalogue_release,n_lrd_any_measurement,n_lrd_preferred_measurement,n_lrd_cross_source_only,lrd_count_basis
v5-blagn,measurement,lrd_phenotype,lrd,53,53,53,4.0639,6.685,6.62,7.54,8.55,53,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,53,53,0,measurement-row phenotype
v5-blagn,measurement,lrd_phenotype,non_lrd,20,20,19,4.0,6.778,6.43,6.98,8.06,0,20,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,measurement-row phenotype
v5-blagn,measurement,lrd_phenotype,not_reported_by_source,33,33,33,4.015,8.913,6.06,7.33,8.57,0,0,33,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0109M3047,1,1,1,4.36,4.36,7.86,7.86,7.86,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0218P0007,1,1,1,4.2291,4.2291,7.55,7.55,7.55,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0224M4711,1,1,1,4.0639,4.0639,7.23,7.23,7.23,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0229M0808,2,2,2,4.3653,5.0369,7.31,7.515,7.72,2,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0430M1445,1,1,1,4.0947,4.0947,7.72,7.72,7.72,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0910M0414,1,1,1,4.9102,4.9102,7.94,7.94,7.94,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J0923P0402,1,1,1,4.8688,4.8688,7.87,7.87,7.87,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J1526M2050,3,3,3,4.1573,4.8751,7.43,7.85,8.07,3,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J2002M3013,1,1,1,4.9461,4.9461,7.71,7.71,7.71,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J2132P1217,1,1,1,4.925,4.925,7.11,7.11,7.11,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,ASPIRE/J2232P2930,3,3,3,4.1349,4.7061,6.78,7.31,7.85,3,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,measurement-row phenotype
v5-blagn,measurement,survey_field,CEERS/EGS,13,13,8,4.478,6.936,6.75,7.50514998,7.99122608,2,3,8,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,measurement-row phenotype
v5-blagn,measurement,survey_field,EIGER/J0100,4,4,4,4.349,4.941,7.35,7.45,7.53,4,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,4,4,0,measurement-row phenotype
v5-blagn,measurement,survey_field,EIGER/J0148,3,3,3,4.163,5.019,6.91,7.11,7.32,3,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,measurement-row phenotype
v5-blagn,measurement,survey_field,EIGER/J1120,2,2,2,4.897,4.967,7.56,7.605,7.65,2,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,measurement-row phenotype
v5-blagn,measurement,survey_field,EIGER/J1148,3,3,3,4.277,5.011,7.59,7.79,7.92,3,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,measurement-row phenotype
v5-blagn,measurement,survey_field,FRESCO/GOODS-N,7,7,7,5.086,5.538,7.21,7.58,8.55,7,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,7,7,0,measurement-row phenotype
v5-blagn,measurement,survey_field,FRESCO/GOODS-S,1,1,1,5.481,5.481,7.49,7.49,7.49,1,0,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,measurement-row phenotype
v5-blagn,measurement,survey_field,GLASS/Abell-2744,2,2,2,4.015,4.583,6.36172784,6.464964780000001,6.56820172,0,0,2,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,measurement-row phenotype
v5-blagn,measurement,survey_field,JADES/not_reported,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,measurement-row phenotype
v5-blagn,measurement,survey_field,RUBIES/EGS,14,14,14,4.222,6.685,6.49,7.355,8.3,7,7,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,7,7,0,measurement-row phenotype
v5-blagn,measurement,survey_field,RUBIES/UDS,18,18,18,4.0,6.778,6.43,7.175,8.06,8,10,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,8,8,0,measurement-row phenotype
v5-blagn,physical_object,overall,all,99,106,99,4.0,8.913,6.06,7.39,8.57,53,46,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,"descriptive only: mixes JADES, CEERS/RUBIES, EIGER/FRESCO, ASPIRE, and Harikane NIRSpec selection functions",v5-blagn,53,52,1,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,source,harikane23_nirspec_blagn,5,5,5,4.015,6.936,6.36172784,7.25527251,7.99122608,0,5,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,source,juodzbalis25_jades_blagn,23,24,23,4.133,8.913,6.06,7.33,8.57,0,23,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,0,1,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,source,lin24_aspire_blagn,16,16,16,4.0639,5.0369,6.78,7.715,8.07,16,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,16,16,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,source,matthee23_eiger_fresco_blagn,19,19,19,4.163,5.538,6.91,7.55,8.55,19,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,19,19,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,source,taylor24_ceers_rubies_blagn,36,42,36,4.0,6.778,6.43,7.225,8.3,17,19,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,17,17,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,ASPIRE,16,16,16,4.0639,5.0369,6.78,7.715,8.07,16,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,16,16,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,CEERS,7,11,7,4.478,6.936,6.75,7.29,7.99122608,2,5,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,EIGER,12,12,12,4.163,5.019,6.91,7.495,7.92,12,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,12,12,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,FRESCO,7,7,7,5.086,5.538,7.21,7.58,8.55,7,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,7,7,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,GLASS,2,2,2,4.015,4.583,6.36172784,6.464964780000001,6.56820172,0,2,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,JADES,23,24,23,4.133,8.913,6.06,7.33,8.57,0,23,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,0,1,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey,RUBIES,32,34,32,4.0,6.778,6.43,7.1850000000000005,8.3,15,17,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,15,15,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,Abell-2744,2,2,2,4.015,4.583,6.36172784,6.464964780000001,6.56820172,0,2,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,EGS,21,27,21,4.222,6.936,6.49,7.35,8.3,9,12,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,9,9,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,GOODS-N,7,7,7,5.086,5.538,7.21,7.58,8.55,7,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,7,7,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0100,4,4,4,4.349,4.941,7.35,7.45,7.53,4,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,4,4,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0109M3047,1,1,1,4.36,4.36,7.86,7.86,7.86,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0148,3,3,3,4.163,5.019,6.91,7.11,7.32,3,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0218P0007,1,1,1,4.2291,4.2291,7.55,7.55,7.55,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0224M4711,1,1,1,4.0639,4.0639,7.23,7.23,7.23,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0229M0808,2,2,2,4.3653,5.0369,7.31,7.515,7.72,2,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0430M1445,1,1,1,4.0947,4.0947,7.72,7.72,7.72,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0910M0414,1,1,1,4.9102,4.9102,7.94,7.94,7.94,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J0923P0402,1,1,1,4.8688,4.8688,7.87,7.87,7.87,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J1120,2,2,2,4.897,4.967,7.56,7.605,7.65,2,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J1148,3,3,3,4.277,5.011,7.59,7.79,7.92,3,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J1526M2050,3,3,3,4.1573,4.8751,7.43,7.85,8.07,3,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J2002M3013,1,1,1,4.9461,4.9461,7.71,7.71,7.71,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J2132P1217,1,1,1,4.925,4.925,7.11,7.11,7.11,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,J2232P2930,3,3,3,4.1349,4.7061,6.78,7.31,7.85,3,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,UDS,18,18,18,4.0,6.778,6.43,7.175,8.06,8,10,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,8,8,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,field,not_reported,23,24,23,4.133,8.913,6.06,7.33,8.57,0,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,lrd_phenotype,lrd,53,56,53,4.0639,6.685,6.62,7.55,8.55,53,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,53,52,1,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,lrd_phenotype,non_lrd,46,50,46,4.0,8.913,6.06,7.215,8.57,0,46,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,0,0,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0109M3047,1,1,1,4.36,4.36,7.86,7.86,7.86,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0218P0007,1,1,1,4.2291,4.2291,7.55,7.55,7.55,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0224M4711,1,1,1,4.0639,4.0639,7.23,7.23,7.23,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0229M0808,2,2,2,4.3653,5.0369,7.31,7.515,7.72,2,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,2,2,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0430M1445,1,1,1,4.0947,4.0947,7.72,7.72,7.72,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0910M0414,1,1,1,4.9102,4.9102,7.94,7.94,7.94,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J0923P0402,1,1,1,4.8688,4.8688,7.87,7.87,7.87,1,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,1,1,0,any linked measurement; source strata additionally report preferred-measurement attribution
v5-blagn,physical_object,survey_field,ASPIRE/J1526M2050,3,3,3,4.1573,4.8751,7.43,7.85,8.07,3,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,v5-blagn,3,3,0,any linked measurement; source strata additionally report preferred-measurement attribution
